#{"t_start": 1733170565.426464, "env_id": "None"}
r,l,t
7.371166,53,94.459691
-17.0,61,94.642198
10.156379,26,94.737117
-7.73,39,94.859394
-10.94,32,95.004466
-13.41,31,95.108781
-10.31,95,95.431739
-10.49,33,95.530532
-13.72,36,95.630573
-10.9,33,95.730777
-13.52,26,95.807626
-10.1,49,95.944329
7.880546,37,96.052407
-16.38,77,96.272944
-10.45,45,96.371151
-10.68,56,96.524439
-10.26,36,96.626538
-13.28,28,96.716982
-16.3,21,96.780697
-13.54,30,96.865393
-20.0,28,96.960601
-20.0,34,97.057134
-22.47,23,97.114857
-10.79,59,97.279461
-14.0,58,97.457722
-16.36,31,97.55099
-8.0,52,97.754007
-13.74,33,97.848777
-13.04,31,97.962504
-17.0,63,98.142546
-16.77,29,98.233428
-7.51,52,98.426518
-13.57,24,98.510742
-22.19,30,98.598198
-13.46,55,98.769249
-8.0,44,98.934203
-11.0,51,99.090912
-7.16,28,99.199633
-19.32,38,99.308874
-13.01,37,99.418671
-8.0,29,99.506823
-13.52,84,99.766371
-19.76,26,99.844252
7.274775,65,100.038106
-13.55,42,100.178738
-10.75,87,100.485739
-13.49,38,100.61015
-17.0,27,100.702322
-13.76,32,100.796567
-10.06,46,100.939558
-13.52,31,101.042069
-7.4,29,101.133506
-7.79,49,101.286754
-7.84,40,101.4041
7.184116,43,101.547579
-8.0,82,101.814535
-8.0,57,102.001433
-11.0,23,102.057493
8.0,102,102.320551
-13.36,61,102.49355
-7.55,68,102.700194
-16.09,35,102.812055
-14.0,28,102.901108
-7.29,49,103.061646
-19.39,18,103.121966
-16.74,38,103.231355
-16.86,124,103.587768
-10.1,60,103.772955
-13.71,55,103.96045
-10.08,74,104.183528
-11.0,43,104.312707
18.788586,15,104.37508
-11.0,30,104.467122
-11.0,84,104.735634
-14.0,27,104.827849
-17.0,40,104.960464
-13.91,33,105.065295
-13.29,28,105.156654
9.856126,71,105.36379
7.126531,30,105.475777
-16.49,30,105.572062
16.527778,16,105.630132
10.560311,31,106.11289
-8.0,29,106.204313
-13.3,32,106.305873
-14.0,24,106.375763
-16.05,29,106.461909
-14.0,39,106.562004
-16.21,29,106.641581
-16.75,28,106.717887
-14.0,26,106.793003
-16.41,40,106.899379
-20.0,49,107.039231
-16.27,27,107.100006
-10.23,56,107.221054
-19.13,16,107.258337
-20.0,45,107.371925
9.995276,49,107.527903
-16.62,33,107.635259
8.0,98,107.933115
-16.6,67,108.143729
10.113073,46,108.308197
-10.35,31,108.41314
-10.34,36,108.526186
-16.02,57,108.710064
-7.26,33,108.824764
-16.58,26,108.906497
-8.0,38,109.04541
-10.46,56,109.20052
-16.12,53,109.369923
-16.66,27,109.457275
-13.79,28,109.53893
-7.88,94,109.801357
-10.54,36,109.928926
-22.15,26,110.012056
-13.41,20,110.083289
-13.03,42,110.213128
-7.44,30,110.293487
-13.93,41,110.399976
7.234568,33,110.499363
-10.78,46,110.630972
-10.91,33,110.744739
-16.19,28,110.823963
-16.91,49,110.97938
-10.86,25,111.071156
-10.01,43,111.214547
7.643366,69,111.425917
-16.55,27,111.530803
16.328,30,111.674306
-9.15,92,111.998152
-10.33,112,112.340939
-8.0,58,112.537793
-7.21,25,112.626369
-14.0,30,112.721177
-20.0,28,112.803557
-8.0,55,113.021532
-19.71,38,113.135819
-16.61,36,113.2619
-13.26,52,113.448091
-7.79,44,113.587582
-10.19,57,113.760713
-14.0,23,113.83669
7.893443,32,113.941746
-16.55,75,114.20779
-14.0,26,114.295113
-13.46,39,114.408892
-13.4,36,114.519739
-10.27,46,114.662845
13.765152,31,114.754018
-19.3,23,114.815125
-13.68,69,115.020637
-14.0,34,115.124131
-10.29,33,115.236034
-16.15,22,115.309216
9.557843,40,115.406181
-7.54,58,115.536771
-14.0,23,115.590956
-13.65,50,115.721507
7.514286,52,115.879293
-16.59,28,115.973591
-7.78,42,116.112406
-10.17,35,116.223058
-16.54,50,116.367754
-17.0,27,116.451811
-16.88,21,116.517447
-7.56,58,116.712938
-13.61,26,116.798023
-16.37,23,116.86778
-16.76,33,116.968711
-14.0,38,117.086703
-16.81,22,117.160093
